コード,都道府県,計,男,女,校長_計,校長_男,校長_女,副校長_計,副校長_男,副校長_女,教頭_計,教頭_男,教頭_女,主幹教諭_計,主幹教諭_男,主幹教諭_女,指導教諭_計,指導教諭_男,指導教諭_女,教諭_計,教諭_男,教諭_女,助教諭_計,助教諭_男,助教諭_女,講師_計,講師_男,講師_女,養護教諭_計,養護教諭_男,養護教諭_女,養護助教諭_計,養護助教諭_男,養護助教諭_女,栄養教諭_計,栄養教諭_男,栄養教諭_女
00,全国,17594,6861,10733,786,680,106,20,16,4,607,483,124,27,18,9,13,6,7,13174,4988,8186,197,83,114,1700,577,1123,675,5,670,112,0,112,283,5,278
01,北海道,626,264,362,10,10,0,0,0,0,11,8,3,1,1,0,1,0,1,459,196,263,95,46,49,6,3,3,18,0,18,9,0,9,16,0,16
02,青森県,53,33,20,13,13,0,0,0,0,7,7,0,0,0,0,0,0,0,27,12,15,0,0,0,2,1,1,3,0,3,0,0,0,1,0,1
03,岩手県,73,32,41,4,4,0,4,3,1,0,0,0,1,1,0,0,0,0,50,20,30,1,0,1,7,4,3,3,0,3,0,0,0,3,0,3
04,宮城県,322,151,171,24,22,2,0,0,0,15,10,5,1,1,0,1,1,0,235,106,129,0,0,0,23,11,12,17,0,17,0,0,0,6,0,6
05,秋田県,72,29,43,7,6,1,0,0,0,5,5,0,0,0,0,0,0,0,27,8,19,0,0,0,26,10,16,5,0,5,1,0,1,1,0,1
06,山形県,160,64,96,16,14,2,0,0,0,7,7,0,1,1,0,0,0,0,66,27,39,5,3,2,54,12,42,1,0,1,7,0,7,3,0,3
07,福島県,126,51,75,20,19,1,0,0,0,1,1,0,0,0,0,0,0,0,7,5,2,0,0,0,88,26,62,2,0,2,8,0,8,0,0,0
08,茨城県,299,127,172,20,18,2,1,0,1,18,17,1,0,0,0,0,0,0,240,90,150,0,0,0,2,1,1,14,0,14,2,0,2,2,1,1
09,栃木県,216,90,126,17,17,0,0,0,0,17,14,3,0,0,0,0,0,0,170,59,111,0,0,0,1,0,1,11,0,11,0,0,0,0,0,0
10,群馬県,278,123,155,19,16,3,0,0,0,21,18,3,0,0,0,0,0,0,225,88,137,5,1,4,0,0,0,7,0,7,0,0,0,1,0,1
11,埼玉県,1032,421,611,52,46,6,2,2,0,71,57,14,0,0,0,4,1,3,849,309,540,3,0,3,12,6,6,28,0,28,0,0,0,11,0,11
12,千葉県,1147,533,614,110,96,14,2,2,0,60,52,8,0,0,0,0,0,0,670,268,402,4,3,1,265,111,154,29,1,28,0,0,0,7,0,7
13,東京都,1876,672,1204,4,4,0,4,3,1,1,1,0,0,0,0,0,0,0,1765,659,1106,0,0,0,7,3,4,87,1,86,0,0,0,8,1,7
14,神奈川県,1327,459,868,40,31,9,0,0,0,33,21,12,8,4,4,1,0,1,1121,401,720,0,0,0,4,1,3,46,0,46,0,0,0,74,1,73
15,新潟県,184,75,109,29,20,9,0,0,0,4,3,1,0,0,0,0,0,0,90,36,54,5,1,4,36,15,21,8,0,8,6,0,6,6,0,6
16,富山県,134,60,74,13,11,2,0,0,0,5,4,1,0,0,0,0,0,0,93,45,48,0,0,0,11,0,11,12,0,12,0,0,0,0,0,0
17,石川県,177,69,108,8,4,4,0,0,0,6,4,2,0,0,0,0,0,0,155,61,94,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0
18,福井県,110,51,59,10,10,0,0,0,0,6,4,2,1,1,0,0,0,0,65,28,37,0,0,0,19,8,11,6,0,6,2,0,2,1,0,1
19,山梨県,75,26,49,5,5,0,0,0,0,5,4,1,0,0,0,0,0,0,57,16,41,0,0,0,2,1,1,3,0,3,0,0,0,3,0,3
20,長野県,210,66,144,1,0,1,0,0,0,5,5,0,0,0,0,0,0,0,110,32,78,0,0,0,77,29,48,7,0,7,4,0,4,6,0,6
21,岐阜県,336,142,194,29,27,2,0,0,0,21,16,5,1,1,0,0,0,0,245,88,157,2,0,2,17,9,8,14,1,13,5,0,5,2,0,2
22,静岡県,396,167,229,26,19,7,0,0,0,21,14,7,2,2,0,0,0,0,319,127,192,3,1,2,6,4,2,17,0,17,0,0,0,2,0,2
23,愛知県,1171,437,734,42,38,4,1,1,0,30,23,7,0,0,0,1,0,1,843,313,530,1,0,1,184,60,124,59,2,57,0,0,0,10,0,10
24,三重県,262,108,154,17,17,0,0,0,0,17,15,2,0,0,0,0,0,0,204,70,134,0,0,0,14,6,8,6,0,6,0,0,0,4,0,4
25,滋賀県,246,108,138,15,14,1,0,0,0,7,4,3,0,0,0,1,1,0,196,86,110,0,0,0,15,3,12,8,0,8,0,0,0,4,0,4
26,京都府,425,141,284,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,382,127,255,0,0,0,28,9,19,2,0,2,0,0,0,8,0,8
27,大阪府,1277,516,761,36,26,10,2,1,1,48,32,16,0,0,0,0,0,0,1098,443,655,0,0,0,37,14,23,45,0,45,0,0,0,11,0,11
28,兵庫県,727,310,417,17,13,4,0,0,0,22,19,3,0,0,0,0,0,0,619,257,362,3,2,1,40,18,22,17,0,17,0,0,0,9,1,8
29,奈良県,316,131,185,6,5,1,0,0,0,6,6,0,1,0,1,0,0,0,246,108,138,0,0,0,47,12,35,5,0,5,1,0,1,4,0,4
30,和歌山県,142,59,83,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,113,45,68,0,0,0,15,7,8,2,0,2,3,0,3,2,0,2
31,鳥取県,86,33,53,3,3,0,0,0,0,3,1,2,0,0,0,0,0,0,72,29,43,0,0,0,1,0,1,5,0,5,1,0,1,1,0,1
32,島根県,122,51,71,7,7,0,0,0,0,7,6,1,0,0,0,1,1,0,58,27,31,1,0,1,35,10,25,7,0,7,4,0,4,2,0,2
33,岡山県,329,114,215,15,13,2,0,0,0,9,8,1,0,0,0,0,0,0,277,90,187,1,1,0,2,2,0,16,0,16,0,0,0,9,0,9
34,広島県,401,128,273,8,6,2,0,0,0,12,7,5,2,2,0,0,0,0,339,108,231,4,3,1,10,2,8,16,0,16,1,0,1,9,0,9
35,山口県,181,80,101,11,11,0,0,0,0,9,8,1,0,0,0,0,0,0,147,61,86,1,0,1,0,0,0,10,0,10,0,0,0,3,0,3
36,徳島県,154,48,106,6,3,3,0,0,0,7,7,0,1,0,1,0,0,0,77,21,56,41,17,24,2,0,2,13,0,13,5,0,5,2,0,2
37,香川県,159,50,109,7,6,1,0,0,0,7,6,1,0,0,0,0,0,0,132,38,94,0,0,0,0,0,0,9,0,9,0,0,0,4,0,4
38,愛媛県,104,26,78,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,43,11,32,0,0,0,31,8,23,13,0,13,8,0,8,2,0,2
39,高知県,84,29,55,4,2,2,0,0,0,6,2,4,2,1,1,0,0,0,56,21,35,0,0,0,7,3,4,5,0,5,0,0,0,4,0,4
40,福岡県,977,328,649,25,23,2,3,3,0,17,13,4,3,2,1,1,1,0,490,172,318,15,3,12,360,111,249,23,0,23,22,0,22,18,0,18
41,佐賀県,91,29,62,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,58,22,36,0,0,0,16,1,15,4,0,4,2,0,2,5,0,5
42,長崎県,132,56,76,11,9,2,1,1,0,7,7,0,1,1,0,2,1,1,43,15,28,0,0,0,54,21,33,5,0,5,5,0,5,3,1,2
43,熊本県,215,87,128,12,10,2,0,0,0,12,10,2,1,0,1,0,0,0,90,47,43,0,0,0,79,20,59,4,0,4,12,0,12,5,0,5
44,大分県,139,42,97,10,10,0,0,0,0,1,0,1,0,0,0,0,0,0,84,23,61,1,0,1,29,9,20,12,0,12,1,0,1,1,0,1
45,宮崎県,88,41,47,15,15,0,0,0,0,10,8,2,0,0,0,0,0,0,37,16,21,0,0,0,14,2,12,11,0,11,1,0,1,0,0,0
46,鹿児島県,191,82,109,10,9,1,0,0,0,7,7,0,0,0,0,0,0,0,141,64,77,0,0,0,13,2,11,13,0,13,2,0,2,5,0,5
47,沖縄県,346,122,224,20,16,4,0,0,0,10,9,1,0,0,0,0,0,0,284,93,191,6,2,4,2,2,0,19,0,19,0,0,0,5,0,5
